,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,real sallary,predicted sallary
1910,0.1,0.84,5,303,5,0,1,0,accounting,medium,low
506,0.83,0.98,4,259,5,0,1,0,support,medium,low
3383,0.54,0.98,3,217,3,0,0,0,sales,medium,low
2935,0.29,0.48,2,116,6,1,0,0,hr,low,medium
14581,0.37,0.45,2,142,3,0,1,0,IT,low,low
698,0.43,0.48,2,135,3,0,1,0,sales,medium,low
4402,0.89,0.65,4,184,3,0,0,0,support,low,low
9292,0.18,0.96,5,208,6,0,0,0,technical,medium,medium
12108,0.71,0.87,3,177,4,0,1,0,hr,medium,low
7532,0.62,0.56,4,267,4,0,0,0,support,medium,medium
14425,0.4,0.53,2,151,3,0,1,0,IT,low,low
5648,0.78,0.69,5,256,3,0,0,0,RandD,low,medium
1303,0.45,0.57,2,149,3,0,1,0,marketing,low,low
2606,0.63,0.78,3,153,3,1,0,0,sales,medium,low
3915,0.89,0.93,5,191,4,0,0,0,sales,low,low
14921,0.1,0.86,6,283,4,0,1,0,support,low,low
7807,0.7,0.78,5,264,2,0,0,0,sales,medium,low
890,0.43,0.57,2,131,3,1,1,0,support,medium,low
14918,0.09,0.89,6,282,4,0,1,0,support,low,low
13270,0.68,0.97,3,174,2,0,0,0,support,low,low
5605,0.51,0.82,3,206,4,0,0,0,hr,medium,medium
1155,0.11,0.89,6,301,4,0,1,0,sales,medium,low
14123,0.91,0.82,2,241,3,0,0,0,sales,medium,low
2695,0.86,0.65,3,161,3,0,0,0,sales,low,low
13437,0.57,1.0,4,227,10,0,0,0,technical,low,medium
7371,0.21,0.85,6,221,5,0,0,0,technical,medium,medium
8644,0.72,0.69,4,147,3,0,0,0,sales,medium,low
7481,0.44,0.58,2,157,2,0,0,0,sales,low,low
2169,0.57,0.81,3,142,2,0,0,0,hr,medium,medium
7355,0.73,0.94,3,251,6,0,0,0,sales,medium,medium
4504,0.35,0.67,3,119,3,0,0,1,marketing,medium,medium
5222,0.96,0.59,3,229,3,0,0,0,hr,low,medium
829,0.38,0.53,2,138,3,0,1,0,product_mng,low,low
7056,0.91,1.0,6,242,3,1,0,0,hr,medium,medium
13404,0.75,0.6,4,186,10,1,0,0,marketing,low,medium
784,0.44,0.57,2,131,3,0,1,0,sales,low,low
9533,0.29,0.85,4,211,2,0,0,0,product_mng,low,low
3219,0.65,0.51,4,157,3,1,0,0,sales,medium,low
10350,1.0,0.86,4,195,4,0,0,0,support,medium,low
2182,0.26,0.85,6,152,4,0,0,0,support,medium,low
6788,0.96,0.82,5,164,2,0,0,0,RandD,medium,low
10187,0.93,0.57,3,141,2,0,0,0,technical,low,low
12388,0.45,0.5,2,157,3,0,1,0,marketing,medium,low
11155,0.7,0.88,4,180,2,0,0,0,support,medium,low
13676,0.55,0.64,3,178,2,0,0,1,sales,low,medium
1244,0.1,0.77,6,280,4,0,1,0,sales,medium,low
9933,0.18,0.67,5,209,4,0,0,0,sales,medium,medium
3805,0.68,0.59,3,141,3,0,0,0,product_mng,medium,low
6855,0.76,0.69,4,253,3,0,0,0,IT,low,medium
120,0.14,0.62,4,158,4,1,1,0,technical,low,low
12375,0.73,0.99,5,262,5,0,1,0,product_mng,medium,low
1238,0.66,1.0,5,269,5,0,1,0,sales,medium,low
1500,0.11,0.83,6,253,4,0,1,0,support,low,low
12076,0.1,0.83,6,295,4,0,1,0,product_mng,medium,low
11794,0.61,0.89,4,242,2,0,0,0,management,medium,high
9125,0.81,0.97,3,133,3,0,0,0,technical,medium,low
12613,0.81,0.97,5,243,5,0,1,0,support,medium,low
5875,0.8,0.99,6,178,5,0,0,0,RandD,low,medium
12670,0.11,0.95,6,245,4,0,1,0,management,low,low
9599,0.5,0.8,3,234,3,0,0,0,technical,low,low
3921,0.26,0.45,2,157,3,0,0,0,accounting,medium,medium
824,0.37,0.56,2,138,3,0,1,0,IT,low,low
8660,0.85,0.56,3,159,3,0,0,0,hr,medium,medium
1697,0.1,0.87,7,299,4,0,1,0,sales,low,low
217,0.9,0.98,5,245,5,0,1,0,IT,low,low
10875,0.66,0.91,3,191,4,0,0,0,technical,low,medium
1617,0.76,0.98,4,237,5,0,1,0,sales,low,low
11648,0.17,0.66,6,174,3,0,0,0,sales,medium,low
14349,0.74,1.0,4,249,5,0,1,0,IT,low,low
4114,0.19,0.95,5,193,3,0,0,0,product_mng,medium,low
6615,0.52,0.98,4,272,2,0,0,0,support,low,low
10231,0.58,0.89,3,256,2,0,0,0,support,medium,low
14952,0.44,0.52,2,149,3,0,1,0,marketing,low,low
10486,0.73,0.65,3,145,2,0,0,0,accounting,low,low
5223,0.71,0.97,3,189,3,1,0,0,technical,high,low
4534,0.7,0.84,6,225,6,0,0,0,accounting,low,medium
2625,0.6,0.91,2,168,4,0,0,0,hr,low,medium
7577,0.65,0.56,3,221,2,0,0,0,sales,medium,low
13540,1.0,0.74,2,187,3,0,0,0,support,medium,low
7788,0.69,0.76,4,257,4,0,0,0,technical,low,medium
12007,0.92,0.85,5,259,5,0,1,0,sales,low,low
4248,0.52,0.47,6,141,5,1,0,0,support,low,medium
10603,0.64,0.6,3,135,3,0,0,0,RandD,low,medium
4151,0.58,0.86,3,151,2,0,0,0,accounting,medium,low
14552,0.37,0.47,2,141,3,0,1,0,technical,medium,low
5358,0.66,0.89,3,257,3,0,0,0,sales,medium,low
3258,0.48,0.61,3,223,3,1,0,0,support,medium,low
1254,0.38,0.49,2,144,3,0,1,0,hr,low,low
11501,0.82,0.79,3,176,3,0,0,0,technical,low,low
8481,0.97,0.57,3,144,3,0,0,0,marketing,low,medium
11529,0.97,0.57,3,164,10,0,0,0,management,high,high
1346,0.73,0.95,4,223,6,0,1,0,support,low,low
11041,0.48,0.49,3,268,3,0,0,0,hr,low,medium
3326,0.94,0.97,5,197,5,1,0,0,technical,low,medium
10572,0.66,0.66,3,225,3,0,0,0,technical,low,low
6609,0.79,0.56,4,132,3,0,0,0,support,medium,low
8619,0.58,0.74,4,180,3,0,0,0,product_mng,high,low
5536,0.51,0.84,4,214,2,0,0,0,technical,low,low
5856,0.64,0.7,5,140,4,0,0,0,support,medium,low
6664,0.56,0.51,4,140,2,0,0,0,sales,low,low
8818,0.57,0.56,3,241,3,0,0,0,technical,high,low
11129,0.8,0.9,4,211,8,0,0,0,accounting,medium,medium
2361,0.48,0.61,2,121,2,0,0,0,RandD,medium,low
7000,0.56,0.76,3,207,2,0,0,0,support,medium,low
14036,0.29,0.57,5,134,2,0,0,1,marketing,medium,medium
8108,0.67,0.83,5,269,2,0,0,0,sales,medium,low
6774,0.65,0.75,4,270,2,0,0,0,technical,low,low
10053,0.62,0.54,4,212,4,0,0,0,support,medium,low
12501,0.66,0.57,5,161,5,0,1,0,technical,high,low
13566,0.98,0.58,4,133,3,0,0,0,sales,low,low
4358,0.85,0.81,4,189,4,0,0,0,marketing,medium,medium
9651,0.16,0.56,5,152,5,0,0,0,hr,medium,medium
9208,0.8,0.97,4,220,3,0,0,0,support,low,low
13325,0.76,0.67,5,243,3,0,0,0,sales,low,low
4997,0.77,0.59,5,189,5,0,0,0,technical,low,medium
8239,0.97,0.88,5,173,3,0,0,0,RandD,low,medium
14203,0.62,0.85,3,237,3,1,0,0,IT,medium,low
12000,0.38,0.53,2,157,3,0,1,0,sales,low,low
14082,0.77,0.68,3,98,3,0,0,0,support,medium,low
14130,0.66,0.49,5,235,8,1,0,0,sales,low,medium
5748,0.84,0.58,5,186,2,0,0,0,sales,medium,low
12498,0.44,0.48,2,143,3,0,1,0,technical,medium,low
6423,0.36,0.69,3,165,3,0,0,0,sales,medium,low
4696,0.85,0.88,3,235,2,0,0,0,technical,medium,low
14845,0.82,0.92,5,225,5,0,1,0,sales,low,low
13883,0.5,0.68,3,245,4,0,0,0,marketing,medium,medium
3813,0.83,0.8,4,274,3,0,0,0,RandD,high,medium
10841,0.71,0.72,3,271,2,0,0,0,support,low,low
309,0.1,0.94,6,285,4,0,1,0,support,medium,low
8571,0.86,0.65,5,166,3,0,0,0,sales,medium,low
10541,0.18,0.73,6,231,4,0,0,0,sales,low,medium
14238,0.4,0.49,2,135,3,0,1,0,sales,low,low
2466,0.85,0.54,3,139,3,0,0,0,sales,low,low
10084,0.63,0.41,3,180,5,1,0,0,marketing,medium,medium
33,0.45,0.55,2,140,3,0,1,0,hr,low,low
2616,0.88,0.51,4,139,3,0,0,0,sales,low,low
8983,0.82,0.54,3,243,4,0,0,0,support,low,medium
8735,0.85,0.51,3,242,3,0,0,0,hr,medium,medium
567,0.1,0.97,6,282,4,0,1,0,hr,medium,low
9674,0.87,0.57,3,149,3,0,0,0,support,low,low
13277,0.7,0.54,5,263,3,0,0,0,technical,low,low
3122,0.84,0.68,3,231,3,0,0,0,product_mng,low,low
8954,0.83,0.64,4,242,2,0,0,0,sales,low,low
4442,0.64,0.52,3,223,3,0,0,0,sales,low,low
1333,0.11,0.89,7,257,4,0,1,0,technical,low,low
4196,0.87,0.57,2,181,6,0,0,0,RandD,medium,medium
6309,0.94,0.66,5,219,3,0,0,0,support,low,low
6373,0.16,0.56,6,196,3,0,0,0,technical,medium,low
10257,0.64,0.96,3,274,3,0,0,0,accounting,low,medium
11818,0.66,0.6,3,210,2,0,0,0,sales,low,low
1223,0.75,0.89,4,228,5,0,1,0,support,low,low
10973,0.67,0.63,3,227,3,0,0,0,technical,medium,low
5934,0.84,0.6,3,186,3,1,0,0,support,medium,low
6792,0.89,0.66,3,272,3,0,0,0,RandD,medium,medium
7735,0.94,0.51,4,229,2,1,0,0,sales,low,low
3165,0.81,0.83,4,259,3,1,0,0,technical,low,low
4529,0.52,0.67,3,244,3,0,0,0,sales,low,low
1416,0.11,0.85,6,295,4,0,1,0,technical,low,low
6361,0.66,0.62,5,214,2,0,0,0,sales,medium,low
3571,0.81,0.83,3,133,3,1,0,0,IT,medium,low
9150,0.88,0.55,5,168,2,0,0,0,product_mng,medium,low
8388,0.59,0.79,3,217,4,0,0,0,product_mng,medium,low
13475,0.58,0.91,3,154,10,0,0,0,product_mng,high,medium
7482,0.61,0.72,4,134,2,0,0,0,accounting,medium,low
2809,0.5,0.91,3,212,2,0,0,0,IT,low,low
4996,0.53,0.92,4,223,3,1,0,0,technical,low,low
4999,0.64,0.97,4,268,2,0,0,0,technical,low,low
3922,0.69,0.67,3,178,2,0,0,0,hr,medium,medium
922,0.43,0.47,2,137,3,0,1,0,marketing,medium,low
7311,0.64,0.89,4,146,3,0,0,0,technical,low,low
12474,0.87,1.0,5,242,5,0,1,0,sales,low,low
1839,0.36,0.49,2,147,3,0,1,0,marketing,low,low
9884,0.91,0.83,4,235,3,0,0,0,technical,low,low
3199,0.18,0.52,5,185,6,0,0,0,product_mng,high,medium
7574,0.24,0.5,4,209,3,0,0,0,sales,medium,low
3067,0.89,0.61,3,175,4,0,0,0,sales,medium,medium
4112,0.88,0.98,3,160,2,0,0,0,product_mng,medium,low
6565,0.48,0.69,3,105,3,0,0,0,support,low,low
724,0.45,0.56,2,146,3,0,1,0,technical,medium,low
3016,1.0,0.81,5,178,2,0,0,0,technical,low,low
2841,0.13,0.69,4,127,4,0,0,0,sales,high,low
2158,0.55,0.81,4,260,2,0,0,0,sales,low,low
2909,0.77,0.61,4,223,3,0,0,0,marketing,medium,medium
13305,0.51,0.63,4,198,2,0,0,0,management,medium,high
9107,0.58,0.86,3,226,2,0,0,0,sales,low,low
8500,1.0,0.68,3,132,2,0,0,0,sales,medium,low
9796,0.15,0.42,3,98,3,0,0,0,sales,low,low
2108,0.74,0.76,5,104,4,0,0,0,support,low,low
14905,0.11,0.77,6,247,4,0,1,0,technical,medium,low
8012,0.79,0.9,5,184,3,0,0,0,marketing,low,medium
5749,0.49,0.65,3,226,3,0,0,0,sales,medium,low
403,0.92,0.93,5,240,5,0,1,0,sales,low,low
4239,0.98,0.5,4,264,3,0,0,0,technical,high,low
10176,0.62,0.51,5,134,3,0,0,0,sales,high,low
963,0.37,0.51,2,140,3,0,1,0,support,medium,low
13659,0.57,0.46,3,186,3,1,0,0,IT,medium,low
4160,0.68,0.91,4,162,3,1,0,0,technical,medium,low
14335,0.46,0.49,2,138,3,0,1,0,support,low,low
1140,0.82,0.83,4,245,5,1,1,0,sales,low,low
1003,0.43,0.48,2,160,3,0,1,0,sales,medium,low
9303,0.76,0.85,3,204,2,1,0,0,product_mng,medium,low
6544,0.79,0.36,3,114,3,0,0,0,technical,high,low
1782,0.73,1.0,4,268,5,0,1,0,sales,medium,low
13668,0.4,0.62,4,127,5,0,0,0,accounting,low,medium
10193,0.87,0.92,2,248,3,0,0,0,technical,low,low
9254,0.64,0.48,4,267,2,1,0,0,sales,low,low
9460,0.45,0.66,2,236,3,0,0,0,marketing,medium,medium
12050,0.13,0.78,6,152,2,0,1,0,support,low,low
2347,0.69,0.89,4,174,2,0,0,0,technical,low,low
11579,0.53,0.99,3,223,10,0,0,0,marketing,low,medium
542,0.77,0.91,5,236,5,0,1,0,marketing,medium,low
11001,0.7,0.59,3,138,3,0,0,0,RandD,low,medium
7302,0.59,0.68,5,243,2,0,0,0,support,medium,low
1434,0.37,0.52,2,140,3,0,1,0,management,medium,low
13276,0.43,0.96,3,109,6,0,0,0,technical,low,medium
8582,0.49,0.98,3,224,3,0,0,0,hr,medium,medium
1682,0.59,1.0,3,156,4,0,1,0,accounting,low,low
3367,0.8,0.93,4,258,3,0,0,0,sales,high,low
7748,0.62,0.65,3,249,3,0,0,0,technical,low,low
13224,0.51,0.8,4,198,6,0,0,0,marketing,medium,medium
13318,0.87,0.6,5,165,2,1,0,0,marketing,high,low
1643,0.09,0.83,6,295,5,0,1,0,technical,low,low
2454,0.72,0.79,3,149,3,0,0,0,sales,medium,low
10669,0.72,0.7,4,172,3,0,0,0,IT,medium,low
3214,0.93,0.94,4,156,3,1,0,0,marketing,low,low
5063,0.34,0.89,5,266,6,0,0,0,sales,medium,medium
6593,0.8,0.98,3,161,3,0,0,0,hr,medium,medium
8392,0.58,0.94,5,274,3,0,0,0,RandD,medium,medium
11035,0.48,1.0,4,261,3,0,0,0,accounting,low,medium
10995,0.67,0.49,3,224,3,0,0,0,IT,low,medium
8854,0.71,0.54,3,249,3,0,0,0,marketing,medium,medium
7372,0.44,0.69,2,173,2,0,0,0,technical,medium,low
1999,0.4,0.51,2,148,3,0,1,0,sales,low,low
5770,0.73,0.95,3,258,3,0,0,0,technical,low,low
7932,0.17,0.85,3,234,3,0,0,0,RandD,low,medium
7790,0.28,0.66,3,184,2,0,0,0,marketing,low,low
3265,0.66,0.8,4,183,2,1,0,0,technical,medium,low
46,0.4,0.55,2,147,3,0,1,0,support,low,low
13504,0.87,0.48,5,170,3,0,0,0,sales,low,low
11421,0.81,0.74,2,228,3,0,0,0,management,high,high
1920,0.37,0.49,2,148,3,0,1,0,sales,low,low
13775,0.66,0.5,3,139,10,1,0,0,sales,low,medium
2716,0.6,0.87,4,227,3,1,0,0,technical,medium,low
9067,0.49,0.78,5,137,3,1,0,0,IT,low,low
13979,0.8,0.84,4,242,2,1,0,0,marketing,low,low
1213,0.38,0.55,2,134,3,0,1,0,IT,low,low
2916,0.12,0.47,3,258,5,0,0,0,sales,medium,medium
11655,0.56,0.71,5,244,3,0,0,0,product_mng,low,low
7301,0.52,0.63,3,230,2,0,0,0,support,medium,low
12836,0.54,0.74,2,166,3,0,0,0,sales,medium,low
2087,0.52,0.66,4,139,3,0,0,0,sales,low,low
13,0.41,0.55,2,148,3,0,1,0,sales,low,low
11124,0.29,0.75,6,271,10,0,0,0,sales,medium,medium
7341,0.95,0.65,3,155,2,1,0,0,sales,medium,low
13346,0.56,0.48,5,192,2,1,0,0,technical,medium,low
450,0.81,0.9,4,226,5,0,1,0,product_mng,medium,low
14197,0.48,0.5,5,142,4,0,0,0,IT,medium,medium
8948,0.75,0.68,3,237,5,0,0,0,sales,low,medium
6331,0.75,0.49,2,173,3,1,0,0,RandD,low,medium
1522,0.1,0.82,7,265,4,0,1,0,RandD,low,low
8507,0.79,0.97,3,271,2,0,0,0,hr,medium,medium
2632,0.68,0.69,4,225,2,0,0,0,technical,low,low
6193,0.73,0.97,3,165,2,0,0,0,sales,low,low
10512,0.88,0.71,5,255,3,0,0,0,support,medium,low
2313,0.98,0.77,3,134,2,1,0,0,sales,low,low
4977,0.57,0.56,3,191,3,0,0,0,sales,medium,low
10700,0.52,0.96,4,171,2,0,0,0,sales,medium,low
11672,0.5,0.68,3,245,4,0,0,0,marketing,medium,medium
9402,0.88,0.66,4,275,3,0,0,0,sales,medium,low
5837,0.79,0.86,4,173,4,0,0,0,technical,low,medium
11533,0.6,0.91,5,211,3,0,0,0,sales,low,low
2746,0.94,0.9,2,263,3,0,0,0,RandD,low,medium
11532,0.89,0.77,3,144,3,0,0,0,management,high,medium
8043,0.49,0.42,2,266,3,0,0,0,accounting,low,medium
2945,0.72,0.98,5,197,4,0,0,0,technical,low,medium
13221,0.62,0.91,3,269,8,0,0,0,support,medium,medium
11796,0.64,0.55,3,246,2,0,0,1,marketing,high,medium
12654,0.1,0.89,7,308,4,0,1,0,technical,medium,low
9215,0.57,0.58,3,192,3,0,0,0,technical,medium,low
8068,0.77,0.49,4,274,2,1,0,0,support,medium,low
4869,0.71,0.54,4,198,3,0,0,0,IT,low,low
13565,0.62,0.97,2,271,3,0,0,0,sales,low,low
642,0.73,0.97,5,235,5,0,1,0,hr,low,low
6127,0.76,0.64,4,144,2,0,0,0,sales,high,low
1502,0.1,0.83,5,271,5,0,1,0,support,low,low
14538,0.88,0.99,5,262,6,0,1,0,sales,low,low
10461,0.97,0.62,3,167,3,0,0,0,management,low,high
4729,0.6,0.9,4,178,3,0,0,1,RandD,high,medium
13502,0.62,0.91,3,251,10,0,0,0,sales,medium,medium
10593,0.61,0.67,4,151,3,0,0,0,IT,high,low
10230,0.5,0.85,5,249,3,1,0,0,accounting,medium,medium
10934,0.75,0.63,4,209,3,0,0,1,sales,medium,medium
12243,0.4,0.5,2,128,3,0,1,0,sales,low,low
10275,0.72,0.5,4,245,3,0,0,0,support,medium,low
10848,0.83,0.86,4,98,4,0,0,0,sales,low,low
10032,0.14,0.58,6,205,3,0,0,0,hr,low,medium
13570,0.82,0.8,3,162,3,0,0,0,sales,medium,low
12863,0.19,0.63,4,278,6,0,0,0,technical,low,medium
1716,0.1,0.9,6,301,5,0,1,0,technical,low,low
1100,0.11,0.83,6,262,4,0,1,0,hr,low,low
13833,0.7,0.68,5,225,7,0,0,0,sales,medium,medium
4755,0.86,0.66,3,150,2,0,0,0,sales,low,low
14546,0.45,0.47,2,151,3,0,1,0,accounting,medium,low
9410,0.81,0.49,4,285,4,0,0,0,sales,low,medium
4240,0.52,0.45,2,145,3,0,0,0,technical,low,low
13442,0.79,0.83,3,126,10,1,0,0,support,low,medium
5083,0.78,0.77,3,149,4,1,0,0,support,medium,low
10387,0.76,0.61,4,172,2,0,0,0,marketing,low,low
354,0.33,0.88,6,219,5,0,1,0,support,low,low
12484,0.38,0.52,2,145,3,0,1,0,sales,low,low
9960,0.51,0.79,5,222,2,0,0,0,technical,low,low
11686,0.36,0.41,3,167,10,0,0,0,support,low,medium
3782,0.83,0.93,3,220,4,0,0,0,technical,low,medium
7602,0.98,0.85,4,178,3,0,0,0,support,medium,low
10108,0.82,0.66,4,238,3,1,0,0,hr,low,medium
3405,0.69,0.96,3,210,3,0,0,0,support,low,low
2956,0.85,0.79,3,157,4,0,0,0,support,medium,low
9370,0.77,0.83,5,197,4,0,0,0,management,high,medium
7978,0.69,0.63,4,272,2,0,0,0,technical,low,low
12304,0.89,0.87,5,255,5,0,1,0,RandD,medium,low
9017,0.89,0.86,3,261,4,0,0,0,sales,low,medium
12187,0.4,0.46,2,143,3,0,1,0,hr,medium,low
3838,0.26,0.47,6,182,4,0,0,0,sales,low,medium
12164,0.9,0.99,5,260,5,0,1,0,sales,low,low
7108,0.76,0.93,4,187,4,0,0,0,marketing,low,medium
4954,0.8,0.51,5,196,3,0,0,0,IT,low,medium
3021,0.75,1.0,4,135,4,0,0,0,technical,low,low
10445,0.55,0.4,5,219,4,0,0,0,IT,medium,medium
3984,0.59,0.93,3,265,3,1,0,0,sales,low,low
12307,0.11,0.81,5,287,4,0,1,0,sales,low,low
389,0.42,0.57,2,154,3,1,1,0,marketing,medium,low
7249,0.46,0.55,5,261,5,0,0,0,RandD,medium,medium
6840,0.85,0.7,3,188,2,0,0,0,support,low,low
4863,0.99,0.87,4,223,3,0,0,0,support,medium,low
9430,0.97,0.9,3,255,2,0,0,0,technical,low,low
8509,0.6,0.98,4,192,3,0,0,0,technical,low,low
1438,0.1,0.89,7,285,4,0,1,0,IT,low,low
5009,0.94,0.71,4,189,3,0,0,0,support,medium,low
9363,0.77,0.98,2,226,3,0,0,0,support,low,low
11494,0.49,0.49,3,168,7,0,0,0,sales,low,medium
10827,0.65,0.98,3,252,2,0,0,0,product_mng,high,low
5822,0.71,0.53,6,203,3,0,0,0,sales,medium,low
2837,0.72,0.68,5,266,4,0,0,0,sales,medium,medium
3631,0.39,0.48,3,190,2,0,0,0,technical,low,low
7553,0.84,0.45,3,263,2,0,0,0,RandD,low,medium
13612,0.97,0.79,5,259,3,0,0,1,support,medium,medium
8317,0.93,0.88,5,140,3,0,0,0,RandD,high,medium
12065,0.81,0.7,6,161,4,0,1,0,IT,medium,low
12406,0.73,0.99,5,241,5,0,1,0,sales,low,low
900,0.78,0.94,5,271,6,0,1,0,IT,low,low
6949,0.87,0.57,3,149,2,0,0,0,accounting,medium,low
2602,0.93,0.97,4,227,3,0,0,0,marketing,medium,medium
6560,0.57,0.59,4,206,3,0,0,0,RandD,medium,medium
14950,0.39,0.68,2,282,5,0,1,0,marketing,low,low
9682,0.22,1.0,6,244,3,0,0,0,IT,medium,low
12775,0.39,0.57,2,158,3,0,1,0,sales,low,low
12701,0.89,0.82,4,243,5,0,1,0,sales,medium,low
2403,0.48,0.69,4,222,2,0,0,0,technical,medium,low
7429,0.76,0.58,3,262,2,0,0,0,sales,low,low
14407,0.27,0.54,7,278,3,0,1,0,technical,low,low
14428,0.9,0.98,5,245,5,0,1,0,IT,low,low
2140,0.72,0.63,3,176,3,1,0,0,technical,low,low
10356,0.99,0.73,3,181,2,0,0,0,support,medium,low
1273,0.87,0.95,5,227,5,0,1,0,support,medium,low
507,0.39,0.54,2,158,3,0,1,0,support,low,low
11927,0.58,0.76,4,197,5,0,0,0,sales,low,medium
2630,0.81,0.99,3,239,2,1,0,0,technical,low,low
14144,0.95,0.99,5,251,4,0,0,0,product_mng,low,low
3540,0.87,0.62,3,176,3,0,0,0,accounting,high,medium
10490,0.5,0.7,4,135,3,0,0,0,hr,low,medium
13803,0.95,0.84,3,240,7,0,0,0,sales,medium,medium
12946,0.86,0.64,3,245,4,0,0,0,support,high,medium
7968,0.45,0.61,5,179,5,0,0,0,hr,low,medium
13891,0.59,0.69,3,200,3,0,0,0,sales,low,low
8866,0.14,0.57,4,207,5,0,0,0,sales,low,medium
3463,0.79,0.61,4,136,3,0,0,0,accounting,medium,medium
5697,0.81,0.98,6,196,2,0,0,0,support,low,low
12669,0.72,0.6,3,153,5,0,1,0,technical,low,low
10052,0.68,0.73,3,250,2,0,0,0,support,medium,low
7760,0.88,0.5,4,162,2,0,0,0,support,medium,low
4418,0.75,0.69,2,257,2,1,0,0,product_mng,low,low
7275,0.6,0.7,3,147,2,0,0,0,sales,low,low
9361,0.66,0.84,3,170,4,0,0,0,support,low,low
1796,0.88,0.91,4,234,6,0,1,0,technical,low,low
6004,0.82,0.88,4,259,3,0,0,0,support,low,low
14719,0.38,0.55,2,158,3,0,1,0,support,low,low
7176,0.84,0.69,4,149,3,0,0,0,marketing,medium,medium
8857,0.17,0.88,2,206,4,0,0,0,support,medium,low
10534,0.83,0.5,5,274,3,0,0,0,accounting,low,medium
12331,0.11,0.85,7,302,4,0,1,0,sales,low,low
2028,0.61,0.98,3,267,3,0,0,0,technical,low,low
4731,0.93,0.51,3,196,2,0,0,1,RandD,medium,medium
10565,0.85,0.64,4,188,3,0,0,0,hr,low,medium
4982,0.3,0.51,2,178,3,0,0,0,sales,low,low
11828,0.42,0.96,6,173,3,0,0,0,sales,medium,low
1853,0.36,0.51,2,130,3,0,1,0,sales,low,low
4674,0.74,0.76,5,255,4,0,0,0,sales,medium,medium
7400,0.73,0.36,4,253,2,1,0,0,RandD,low,medium
4998,0.57,0.82,5,138,3,0,0,0,technical,low,low
4911,0.78,0.49,3,224,3,0,0,0,sales,low,low
6088,0.61,0.41,3,103,2,0,0,0,technical,high,low
4800,0.95,0.57,5,216,3,0,0,0,product_mng,low,low
121,0.4,0.46,2,135,3,0,1,0,technical,low,low
9002,0.9,0.9,3,147,3,1,0,0,RandD,medium,medium
5194,0.26,0.71,6,189,2,0,0,0,marketing,high,low
6867,0.81,0.8,3,183,2,1,0,0,RandD,medium,low
3169,0.72,0.82,5,287,3,0,0,0,technical,medium,low
12016,0.45,0.47,2,160,3,0,1,0,sales,low,low
10698,0.88,0.65,5,228,3,0,0,0,sales,medium,low
4371,0.18,0.84,4,231,5,0,0,0,sales,low,medium
8549,0.66,0.84,5,187,2,1,0,0,RandD,low,low
7971,0.8,0.77,5,256,2,0,0,0,technical,low,low
13849,0.91,0.61,4,135,10,0,0,0,accounting,medium,medium
12410,0.28,0.45,6,218,4,0,1,0,accounting,low,low
350,0.09,0.8,6,304,5,0,1,0,technical,medium,low
14679,0.9,0.92,5,245,5,0,1,0,sales,low,low
4486,0.76,0.79,3,161,3,0,0,0,technical,low,low
3477,0.71,0.75,4,272,4,0,0,0,technical,low,medium
18,0.45,0.51,2,160,3,1,1,1,sales,low,medium
14960,0.82,0.86,5,257,5,0,1,0,sales,low,low
6171,0.9,0.72,4,143,3,0,0,0,IT,medium,low
1314,0.4,0.52,2,136,3,0,1,0,sales,medium,low
12649,0.46,0.5,2,156,3,0,1,0,technical,medium,low
13684,0.28,0.59,6,281,3,0,0,0,product_mng,medium,low
3469,0.9,0.79,4,236,3,1,0,0,technical,medium,low
3166,0.61,0.83,3,112,4,1,0,0,technical,low,low
363,0.72,0.96,5,267,5,0,1,0,technical,low,low
2117,0.78,0.72,5,270,3,1,0,0,technical,low,low
6987,0.85,0.89,4,177,3,0,0,0,technical,medium,low
12249,0.11,0.84,6,298,4,0,1,0,sales,low,low
2598,0.5,0.93,6,150,3,1,0,0,technical,medium,low
3559,0.15,0.52,4,265,6,0,0,0,support,low,medium
5241,0.88,0.45,5,274,2,1,0,0,support,medium,low
5656,0.72,0.71,5,248,2,0,0,0,marketing,low,low
1553,0.82,0.82,5,220,6,0,1,0,sales,medium,low
7088,0.94,0.58,3,135,3,0,0,0,IT,low,low
13584,0.42,0.45,3,227,3,0,0,0,sales,medium,low
9457,0.75,0.5,4,166,4,0,0,0,IT,low,medium
13941,0.91,0.58,3,220,7,0,0,1,sales,low,medium
5267,0.28,0.79,5,202,5,0,0,0,accounting,low,medium
1874,0.7,0.84,6,161,4,0,1,0,technical,low,low
11606,0.56,0.39,3,106,8,0,0,0,management,high,high
12156,0.83,1.0,5,240,5,0,1,0,support,low,low
6964,0.89,0.81,3,268,3,0,0,0,sales,low,low
9249,0.98,0.89,3,186,2,0,0,0,sales,low,low
2543,0.21,0.65,5,223,3,1,0,0,sales,low,low
1133,0.91,0.94,5,218,6,0,1,0,product_mng,low,low
10078,0.8,0.77,4,224,2,0,0,0,accounting,medium,low
9027,0.69,0.52,5,219,3,0,0,0,sales,low,low
1396,0.2,0.7,6,281,5,0,1,0,sales,medium,low
4386,0.7,0.55,4,256,4,0,0,0,hr,medium,medium
6262,0.88,0.67,4,226,2,0,0,0,technical,low,low
1792,0.41,0.51,2,156,3,0,1,0,technical,medium,low
